epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,535.832,0.90741,1.08719,0.46485,0.01793,0.50844,0.76065,0.77633,0.80439,0.48889,0.83957,0.62595,0.65809,0.41318,1.67182,3.43967,0.84119,0.07696,0,0.00922942,0.00922942,0.00922942
29,554.476,0.97269,1.14946,0.46201,0.02017,0.54717,0.95411,0.79348,0.89453,0.50105,0.95411,0.79348,0.89453,0.62338,1.69463,0.73893,1.57959,0.07859,0,0.00917296,0.00917296,0.00917296
30,573.11,0.946,1.07508,0.44408,0.01987,0.5174,0.98329,0.93893,0.98578,0.72941,0.98329,0.93893,0.98578,0.80044,0.989,0.98181,0.52914,0.0423,0,0.00911469,0.00911469,0.00911469
31,591.828,0.96794,1.02366,0.46333,0.01995,0.51735,0.89745,0.93531,0.95771,0.66098,0.88286,0.92052,0.93201,0.68551,1.13914,1.42345,0.90198,0.04793,0,0.00905463,0.00905463,0.00905463
32,610.489,0.89725,1.07479,0.44041,0.01719,0.49405,0.99193,0.96947,0.99224,0.7592,0.98412,0.96183,0.98718,0.64531,0.91795,1.74017,0.3724,0.03596,0,0.00899282,0.00899282,0.00899282
33,629.195,0.87374,1.09009,0.39881,0.01739,0.50024,0.89731,0.94656,0.98094,0.75974,0.89731,0.94656,0.98094,0.82599,0.90156,0.79274,0.45615,0.03896,0,0.00892928,0.00892928,0.00892928
34,647.849,0.86619,1.08246,0.43527,0.0163,0.51265,0.99457,0.9771,0.99485,0.75046,0.99457,0.9771,0.99485,0.86203,0.99454,0.8041,1.39102,0.03986,0,0.00886404,0.00886404,0.00886404
35,666.452,0.87993,1.08663,0.43861,0.0168,0.51265,0.88272,0.63204,0.71183,0.48912,0.84264,0.61069,0.65862,0.44944,1.33959,3.11987,1.27945,0.05542,0,0.00879713,0.00879713,0.00879713
36,685.142,0.83426,1.06722,0.42298,0.01568,0.48067,0.95382,0.87786,0.97053,0.79405,0.95382,0.87786,0.97053,0.87342,0.69788,0.70497,1.32796,0.02772,0,0.00872857,0.00872857,0.00872857
37,703.892,0.80457,0.99704,0.38831,0.01576,0.50221,0.9878,0.87786,0.96447,0.72935,0.9878,0.87786,0.96447,0.84189,0.9599,0.81554,0.85593,0.03888,0,0.00865839,0.00865839,0.00865839
38,722.523,0.83313,0.99431,0.39954,0.01582,0.4926,0.9919,0.93467,0.98546,0.80219,0.9919,0.93467,0.98546,0.86373,0.73668,0.72529,0.45879,0.0307,0,0.00858664,0.00858664,0.00858664
