epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,475.338,0.85402,1.09578,0.41434,0.01601,0.50328,0.96161,0.956,0.98899,0.80181,0.96161,0.956,0.98899,0.87102,0.74174,0.81169,0.52652,0.03077,0,0.00922942,0.00922942,0.00922942
29,492.153,0.89932,1.12602,0.43738,0.01733,0.53502,0.99218,0.96876,0.9932,0.80942,0.99218,0.96876,0.9932,0.84669,0.76878,0.82443,0.68925,0.03149,0,0.00917296,0.00917296,0.00917296
30,508.982,0.82428,0.99546,0.38355,0.01594,0.48183,0.96928,0.9633,0.99321,0.85427,0.96928,0.9633,0.99321,0.8688,0.63956,0.85311,0.6084,0.02567,0,0.00911469,0.00911469,0.00911469
31,525.929,0.82712,0.95738,0.40069,0.01661,0.45092,0.99605,0.94656,0.9904,0.73388,0.99605,0.94656,0.9904,0.87587,1.07505,0.74849,0.73126,0.05097,0,0.00905463,0.00905463,0.00905463
32,542.784,0.84736,1.04773,0.40865,0.0166,0.4521,0.99019,0.94656,0.99035,0.78286,0.99019,0.94656,0.99035,0.87828,0.8622,0.72121,0.94871,0.03596,0,0.00899282,0.00899282,0.00899282
33,559.758,0.78667,1.06179,0.39788,0.0156,0.45431,0.92641,0.96105,0.98587,0.76176,0.93385,0.96991,0.98671,0.85588,0.89447,0.83361,0.77445,0.038,0,0.00892928,0.00892928,0.00892928
34,576.741,0.82766,1.06974,0.43417,0.01545,0.49966,0.97408,0.9542,0.99099,0.73436,0.97408,0.9542,0.99099,0.81441,0.99265,0.97982,0.96406,0.04301,0,0.00886404,0.00886404,0.00886404
35,593.573,0.81838,1.10386,0.42724,0.01557,0.47607,0.96982,0.98116,0.99195,0.7385,0.96982,0.98116,0.99195,0.84652,1.01864,0.95492,0.62515,0.04228,0,0.00879713,0.00879713,0.00879713
36,610.484,0.81228,1.10104,0.4468,0.01541,0.45801,0.96828,0.932,0.98795,0.74111,0.96828,0.932,0.98795,0.8889,0.97344,0.83217,0.66689,0.04661,0,0.00872857,0.00872857,0.00872857
37,627.338,0.80424,0.99404,0.40946,0.01546,0.48733,0.95404,0.9542,0.99083,0.8306,0.95404,0.9542,0.99083,0.89545,0.67716,0.70196,0.57894,0.02872,0,0.00865839,0.00865839,0.00865839
38,644.192,0.83513,0.99017,0.40479,0.0161,0.45749,0.92761,0.97823,0.98887,0.74638,0.92761,0.97823,0.98887,0.90185,1.01276,0.66141,0.63108,0.04129,0,0.00858664,0.00858664,0.00858664
39,661.027,0.77716,0.97118,0.37716,0.01466,0.44696,0.9864,0.9771,0.99447,0.80388,0.9864,0.9771,0.99447,0.8658,0.79,0.69892,0.5125,0.03307,0,0.00851333,0.00851333,0.00851333
40,678.034,0.80695,0.95978,0.39733,0.01466,0.43778,0.98111,0.93893,0.98942,0.85126,0.98111,0.93893,0.98942,0.89011,0.59192,0.71413,1.0082,0.02355,0,0.00843851,0.00843851,0.00843851
41,694.944,0.73086,0.98309,0.37083,0.01333,0.47053,0.99318,0.96947,0.99455,0.85488,0.99318,0.96947,0.99455,0.89942,0.6399,0.65618,0.53795,0.02706,0,0.0083622,0.0083622,0.0083622
42,711.801,0.73085,0.96751,0.35973,0.01351,0.50814,0.98482,0.99237,0.99469,0.8174,0.98482,0.99237,0.99469,0.87624,0.76715,0.67772,0.26494,0.03315,0,0.00828443,0.00828443,0.00828443
43,728.676,0.76641,0.94966,0.34919,0.01445,0.47331,0.98558,0.96947,0.99425,0.86739,0.98558,0.96947,0.99425,0.89042,0.59367,0.77535,0.66724,0.0251,0,0.00820525,0.00820525,0.00820525
44,745.601,0.73978,0.91665,0.34635,0.01386,0.42402,0.99138,0.98473,0.99455,0.82648,0.99138,0.98473,0.99455,0.88277,0.71499,0.80047,0.75633,0.03027,0,0.00812468,0.00812468,0.00812468
45,762.343,0.7481,0.95525,0.35961,0.01416,0.43314,0.98399,0.93825,0.98705,0.80673,0.98399,0.93825,0.98705,0.86637,0.85001,0.78019,0.41039,0.03798,0,0.00804277,0.00804277,0.00804277
46,779.251,0.7006,0.91446,0.37341,0.01317,0.43046,0.9752,0.9771,0.99284,0.78676,0.9752,0.9771,0.99284,0.80014,0.8477,0.76699,0.42975,0.03539,0,0.00795954,0.00795954,0.00795954
47,796.132,0.71048,0.97786,0.35581,0.01351,0.4636,0.99083,1,0.9947,0.80759,0.99083,1,0.9947,0.85094,0.80418,0.77577,0.45864,0.03328,0,0.00787503,0.00787503,0.00787503
48,812.978,0.73444,0.93863,0.33963,0.01376,0.41887,0.98325,0.99237,0.99477,0.87572,0.98325,0.99237,0.99477,0.9028,0.50277,0.7598,0.43484,0.01895,0,0.00778929,0.00778929,0.00778929
49,829.807,0.70285,0.91996,0.3374,0.01296,0.43407,0.97571,0.94656,0.99184,0.82845,0.97571,0.94656,0.99184,0.87573,0.66126,0.72804,0.30672,0.02526,0,0.00770234,0.00770234,0.00770234
50,846.71,0.68732,0.93565,0.33389,0.01269,0.43516,0.98036,0.93893,0.99084,0.89864,0.98036,0.93893,0.99084,0.89397,0.45989,0.69028,0.5515,0.01795,0,0.00761423,0.00761423,0.00761423
51,863.659,0.68982,0.934,0.31591,0.01272,0.42597,0.99235,0.98982,0.99492,0.81818,0.99235,0.98982,0.99492,0.89283,0.73126,0.68319,0.35085,0.02777,0,0.007525,0.007525,0.007525
52,880.693,0.7105,0.87713,0.31006,0.01313,0.38527,0.96454,0.9771,0.99236,0.85946,0.96454,0.9771,0.99236,0.9066,0.56432,0.70606,0.51126,0.02192,0,0.00743468,0.00743468,0.00743468
53,897.582,0.70534,0.90812,0.34646,0.013,0.41722,0.9548,0.96947,0.99115,0.7664,0.9548,0.96947,0.99115,0.81566,0.90465,0.74952,0.73439,0.03829,0,0.00734332,0.00734332,0.00734332
54,914.668,0.67486,0.86738,0.31165,0.01295,0.44032,0.99504,0.9771,0.99048,0.84091,0.99504,0.9771,0.99048,0.87949,0.70297,0.69907,0.68111,0.02925,0,0.00725094,0.00725094,0.00725094
55,931.669,0.70462,0.8519,0.31405,0.01316,0.4133,0.99219,0.97034,0.99386,0.75985,0.99219,0.97034,0.99386,0.86778,1.0085,0.65392,0.69261,0.04368,0,0.00715761,0.00715761,0.00715761
56,948.692,0.69195,0.85398,0.31147,0.01256,0.4098,0.99106,0.99237,0.995,0.78515,0.99106,0.99237,0.995,0.9023,0.87172,0.74642,0.4664,0.03542,0,0.00706335,0.00706335,0.00706335
57,965.644,0.70574,0.90583,0.34665,0.01281,0.4183,1,0.97556,0.99435,0.79347,1,0.97556,0.99435,0.92841,0.85315,0.66438,0.41051,0.03336,0,0.0069682,0.0069682,0.0069682
58,982.566,0.68354,0.84158,0.32934,0.01255,0.39849,0.9907,0.9771,0.99425,0.78324,0.9907,0.9771,0.99425,0.90838,0.85653,0.64343,0.5601,0.03709,0,0.00687222,0.00687222,0.00687222
59,999.456,0.66923,0.86112,0.3301,0.01225,0.38801,0.96908,0.9569,0.9925,0.87885,0.96908,0.9569,0.9925,0.90854,0.52515,0.67548,0.38315,0.02184,0,0.00677543,0.00677543,0.00677543
60,1017.11,0.66038,0.8931,0.3104,0.01194,0.38497,0.99227,0.97955,0.99446,0.85844,0.99227,0.97955,0.99446,0.91579,0.63829,0.62525,1.10594,0.02701,0,0.00667789,0.00667789,0.00667789
61,1033.98,0.6172,0.81931,0.28416,0.0116,0.3903,0.99231,0.98464,0.99462,0.87869,0.99231,0.98464,0.99462,0.92824,0.52673,0.59296,0.27443,0.02169,0,0.00657963,0.00657963,0.00657963
62,1050.91,0.62079,0.87659,0.32427,0.01133,0.42286,0.99233,0.98783,0.99485,0.87682,0.99233,0.98783,0.99485,0.89366,0.53392,0.70502,0.38549,0.0215,0,0.00648071,0.00648071,0.00648071
63,1067.59,0.61138,0.90685,0.33134,0.01088,0.41797,1,0.98946,0.995,0.83173,1,0.98946,0.995,0.89117,0.72804,0.64165,0.2788,0.03107,0,0.00638115,0.00638115,0.00638115
64,1084.52,0.63024,0.89783,0.34997,0.01101,0.40929,0.94777,0.9313,0.98642,0.88998,0.94777,0.9313,0.98642,0.90124,0.42848,0.68144,0.3934,0.01711,0,0.00628101,0.00628101,0.00628101
65,1101.39,0.66981,0.81713,0.34463,0.01256,0.39744,0.96933,0.96497,0.99152,0.81756,0.96933,0.96497,0.99152,0.91366,0.75851,0.59575,0.62629,0.03145,0,0.00618034,0.00618034,0.00618034
66,1118.44,0.64576,0.84113,0.32417,0.0121,0.3929,1,0.96748,0.98416,0.84527,1,0.96748,0.98416,0.89008,0.59903,0.70983,1.02248,0.02486,0,0.00607916,0.00607916,0.00607916
67,1135.46,0.64058,0.82323,0.3111,0.01157,0.3791,0.98481,0.98954,0.99477,0.76201,0.98481,0.98954,0.99477,0.84603,0.92537,0.62381,0.63231,0.04031,0,0.00597754,0.00597754,0.00597754
68,1152.39,0.67297,0.83796,0.32385,0.01278,0.41952,0.98971,0.96183,0.99345,0.83426,0.98971,0.96183,0.99345,0.90255,0.715,0.60507,0.60326,0.02812,0,0.00587551,0.00587551,0.00587551
69,1169.42,0.63747,0.84524,0.3141,0.01173,0.39234,0.92851,0.9084,0.91415,0.78178,0.92851,0.9084,0.91415,0.83173,0.61756,0.62512,1.35821,0.02365,0,0.00577311,0.00577311,0.00577311
70,1186.63,0.59803,0.83913,0.28325,0.01072,0.37329,0.98437,0.96151,0.98804,0.85477,0.98437,0.96151,0.98804,0.9165,0.59827,0.65682,0.9636,0.02461,0,0.0056704,0.0056704,0.0056704
71,1203.78,0.61288,0.85319,0.3193,0.01146,0.43674,1,0.97294,0.99455,0.86672,1,0.97294,0.99455,0.91601,0.53341,0.65258,0.9116,0.0208,0,0.00556742,0.00556742,0.00556742
72,1221.53,0.58803,0.82232,0.29373,0.01041,0.39916,0.9742,1,0.99439,0.90417,0.9742,1,0.99439,0.90984,0.42817,0.61864,0.23055,0.01746,0,0.00546421,0.00546421,0.00546421
73,1239.45,0.58021,0.79557,0.28343,0.01007,0.3804,0.99848,0.99237,0.995,0.89226,0.99848,0.99237,0.995,0.92616,0.48902,0.57602,0.30814,0.01832,0,0.00536081,0.00536081,0.00536081
74,1257.43,0.604,0.80108,0.29714,0.011,0.37221,0.99222,0.97323,0.99166,0.87122,0.99222,0.97323,0.99166,0.91596,0.54734,0.55919,0.98323,0.02129,0,0.00525728,0.00525728,0.00525728
75,1274.93,0.62491,0.79996,0.31109,0.0112,0.35765,0.98488,0.99435,0.99492,0.93034,0.98488,0.99435,0.99492,0.93392,0.40967,0.54574,1.25041,0.01617,0,0.00515366,0.00515366,0.00515366
76,1291.97,0.57759,0.75694,0.28718,0.0104,0.35875,0.99138,0.9542,0.98879,0.87698,0.99138,0.9542,0.98879,0.92766,0.54585,0.52898,0.53081,0.02098,0,0.00505,0.00505,0.00505
77,1308.93,0.59137,0.76604,0.28277,0.01099,0.35728,0.99159,0.9771,0.99303,0.8305,0.99159,0.9771,0.99303,0.92078,0.73812,0.50361,0.46997,0.03052,0,0.00494634,0.00494634,0.00494634
78,1326.1,0.63434,0.81619,0.31005,0.01185,0.37756,0.99224,0.97593,0.99432,0.93046,0.99224,0.97593,0.99432,0.91953,0.36367,0.56337,0.31225,0.01398,0,0.00484272,0.00484272,0.00484272
79,1343.24,0.57339,0.76723,0.2783,0.0105,0.34634,0.97731,0.9865,0.99431,0.86669,0.97731,0.9865,0.99431,0.91265,0.57673,0.53086,0.4709,0.02507,0,0.00473919,0.00473919,0.00473919
80,1360.39,0.60057,0.77412,0.28231,0.01051,0.3403,0.99857,1,0.995,0.90468,0.99857,1,0.995,0.93685,0.47533,0.51469,0.26765,0.01916,0,0.00463579,0.00463579,0.00463579
81,1377.52,0.58029,0.74012,0.27622,0.01064,0.35236,0.99912,0.99237,0.995,0.86282,0.99912,0.99237,0.995,0.8999,0.59828,0.51354,0.39732,0.02467,0,0.00453258,0.00453258,0.00453258
82,1394.68,0.56696,0.78221,0.27619,0.01043,0.3744,0.99637,0.9771,0.99144,0.87841,0.99637,0.9771,0.99144,0.91515,0.5085,0.52193,0.46802,0.02172,0,0.0044296,0.0044296,0.0044296
83,1411.72,0.57494,0.78579,0.28565,0.01043,0.36693,0.99783,0.99237,0.995,0.88378,0.99783,0.99237,0.995,0.91286,0.54182,0.57046,1.33285,0.02262,0,0.00432689,0.00432689,0.00432689
84,1428.89,0.60275,0.75751,0.28319,0.01077,0.33449,0.99892,0.9771,0.98798,0.91575,0.99892,0.9771,0.98798,0.92033,0.38319,0.5305,0.43403,0.01532,0,0.00422449,0.00422449,0.00422449
85,1445.92,0.60543,0.77279,0.29434,0.01074,0.34585,0.98438,0.99237,0.99454,0.87728,0.98438,0.99237,0.99454,0.93916,0.5579,0.4937,0.21598,0.02268,0,0.00412246,0.00412246,0.00412246
86,1463.01,0.55197,0.7096,0.26376,0.00965,0.32683,0.99888,0.99237,0.995,0.87511,0.99888,0.99237,0.995,0.94552,0.56712,0.51763,0.18419,0.02271,0,0.00402084,0.00402084,0.00402084
87,1480.15,0.56597,0.77586,0.28213,0.01013,0.34329,0.9991,0.98473,0.9947,0.84816,0.9991,0.98473,0.9947,0.906,0.69176,0.52834,0.21992,0.02967,0,0.00391966,0.00391966,0.00391966
88,1497.31,0.55929,0.74999,0.27435,0.00999,0.33245,0.99236,0.99183,0.99485,0.90181,0.99236,0.99183,0.99485,0.92606,0.43141,0.50398,0.30467,0.01681,0,0.00381899,0.00381899,0.00381899
89,1514.56,0.55958,0.76023,0.29518,0.00982,0.35453,0.99203,0.94964,0.99098,0.89422,0.99203,0.94964,0.99098,0.91841,0.45162,0.51452,0.22346,0.01702,0,0.00371885,0.00371885,0.00371885
90,1531.92,0.55971,0.76697,0.27909,0.00995,0.35002,0.9847,1,0.99462,0.93424,0.9847,1,0.99462,0.9311,0.3623,0.54169,0.14564,0.01398,0,0.00361929,0.00361929,0.00361929
91,1549.38,0.5266,0.72158,0.27291,0.00928,0.34275,0.98489,0.995,0.99477,0.86438,0.98489,0.995,0.99477,0.93138,0.59187,0.4955,0.23348,0.02349,0,0.00352037,0.00352037,0.00352037
92,1566.79,0.51889,0.69118,0.25089,0.00926,0.31517,1,0.98414,0.99456,0.8501,1,0.98414,0.99456,0.91631,0.68364,0.48168,0.22847,0.02881,0,0.00342211,0.00342211,0.00342211
93,1583.96,0.55882,0.72011,0.27374,0.00977,0.32352,0.99231,0.98441,0.99477,0.86027,0.99231,0.98441,0.99477,0.93132,0.62754,0.50238,0.22785,0.02453,0,0.00332457,0.00332457,0.00332457
94,1601.49,0.55168,0.75353,0.27723,0.0096,0.33266,0.99222,0.97319,0.99454,0.87999,0.99222,0.97319,0.99454,0.91373,0.53301,0.53421,0.19104,0.02155,0,0.00322778,0.00322778,0.00322778
95,1619.11,0.51777,0.77225,0.26784,0.00887,0.3462,0.99777,0.96183,0.9941,0.91577,0.99777,0.96183,0.9941,0.93317,0.42543,0.50727,0.17213,0.0161,0,0.0031318,0.0031318,0.0031318
